NumeroHomologacao;DataEmissaoHomologacao;TipodeProduto;Modelo;NomeComercial;ModoOperacao5G;Fabricante
184032100953;2023-09-19;Telefone Móvel Celular;SM-A336M/DSN;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
180192200330;2025-07-04;Telefone Móvel Celular;XT2309-2;ThinkPhone by Motorola;Ambos (SA / NSA);Motorola Mobility LLC
178742000330;2022-05-20;Telefone Móvel Celular;XT2125-4;Moto G G100;Non-standalone (NSA);Motorola Mobility LLC
176692100330;2024-11-14;Telefone Móvel Celular;XT2201-1;motorola edge 30 pro;Ambos (SA / NSA);Motorola Mobility LLC
175602314550;2024-05-10;Telefone Móvel Celular;2312DRAABG;Redmi Note 13 5G;Ambos (SA / NSA);Xiaomi Communications Co., Ltd.
175412314550;2024-06-10;Telefone Móvel Celular;23122PCD1G;Poco X6 5G;Ambos (SA / NSA);Xiaomi Communications Co., Ltd.
175412314550;2024-06-10;Telefone Móvel Celular;2312DRA50G;Redmi Note 13 Pro 5G;Ambos (SA / NSA);Xiaomi Communications Co., Ltd.
174942000953;2022-04-14;Telefone Móvel Celular;SM-A526B/DS;;Non-standalone (NSA);Samsung Electronics Co Ltd.
174352000953;2022-03-30;Telefone Móvel Celular;SM-A326B/DS;;Non-standalone (NSA);Samsung Electronics Co Ltd.
174092200330;2024-09-13;Telefone Móvel Celular;XT2335-1;moto g53 5G;Ambos (SA / NSA);Motorola Mobility LLC
171892200953;2023-07-13;Telefone Móvel Celular;SM-A146M/DS;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
171532200953;2024-06-15;Telefone Móvel Celular;SM-S918B/DS;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
171522200953;2024-07-04;Telefone Móvel Celular;SM-S911B/DS;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
171512200953;2024-06-24;Telefone Móvel Celular;SM-S916B/DS;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
168722000953;2022-05-12;Telefone Móvel Celular;SM-G998B/DS;Galaxy S21 Ultra 5G;Ambos (SA / NSA);Samsung Electronics Co Ltd.
167752213411;2023-04-20;Telefone Móvel Celular;TA-1481;Nokia G60 5G;Ambos (SA / NSA);HMD Global Oy
167672013366;2021-11-24;Telefone Móvel Celular;RMX2111;realme 7 5G;Ambos (SA / NSA);Realme Chongqing Mobile Telecommunications Corp.,
167602000953;2022-04-05;Telefone Móvel Celular;SM-G991B/DS;Galaxy S21 5G;Ambos (SA / NSA);Samsung Electronics Co Ltd.
167592000953;2022-04-05;Telefone Móvel Celular;SM-G996B/DS;Galaxy S21 5G;Ambos (SA / NSA);Samsung Electronics Co Ltd.
167352203109;2022-12-06;Telefone Móvel Celular;ASUS_AI2203_D;ROG Phone 6D;Ambos (SA / NSA);Asustek Computer Inc.
162192100953;2023-06-21;Telefone Móvel Celular;SM-S908E/DS;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
162182100953;2023-06-21;Telefone Móvel Celular;SM-S901E/DS;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
162172100953;2023-07-07;Telefone Móvel Celular;SM-S906E/DS;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
160332200330;2024-09-13;Telefone Móvel Celular;XT2237-1;moto g73 5G;Ambos (SA / NSA);Motorola Mobility LLC
158122307600;2023-12-04;Telefone Móvel Celular;T771K;;Ambos (SA / NSA);TCL Communication LTD
152972213366;2023-05-04;Telefone Móvel Celular;RMX3686;Realme 10 Pro+ 5G;Ambos (SA / NSA);Realme Chongqing Mobile Telecommunications Corp.,
149992009185;2021-02-12;Telefone Móvel Celular;M2007J3SG;Mi 10T Pro;Ambos (SA / NSA);Xiaomi Communications Co., Ltd.
149992009185;2021-02-12;Telefone Móvel Celular;M2007J3SY;Mi 10T;Ambos (SA / NSA);Xiaomi Communications Co., Ltd.
148742000330;2022-05-13;Telefone Móvel Celular;XT2113-3;Motorola Moto G 5G;Non-standalone (NSA);Motorola Mobility LLC
147632207600;2023-02-17;Telefone Móvel Celular;T771H;TCL 40 R 5G;Ambos (SA / NSA);TCL Communication LTD
139732300953;2023-09-22;Telefone Móvel Celular;SM-S711B/DS;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
137392107600;2022-01-20;Telefone Móvel Celular;T810H;TCL 20 Pro 5G;Non-standalone (NSA);TCL Communication LTD
132412100330;2022-04-01;Telefone Móvel Celular;XT2175-1;Moto g200;Ambos (SA / NSA);Motorola Mobility LLC
129992001993;2026-01-07;Telefone Móvel Celular;A2411;iPhone 12 Pro Max;Ambos (SA / NSA);Apple Inc.
129982001993;2025-12-23;Telefone Móvel Celular;A2407;iPhone 12 Pro;Ambos (SA / NSA);Apple Inc.
129972001993;2026-01-07;Telefone Móvel Celular;A2399;iPhone 12 Mini;Ambos (SA / NSA);Apple Inc.
129962001993;2026-01-07;Telefone Móvel Celular;A2403;iPhone 12;Ambos (SA / NSA);Apple Inc.
128972100953;2022-04-04;Telefone Móvel Celular;SM-M526B/DS;;Non-standalone (NSA);Samsung Electronics Co Ltd.
127832301993;2025-12-19;Telefone Móvel Celular;A3102;iPhone 15 Pro;Ambos (SA / NSA);Apple Inc.
127822301993;2025-12-19;Telefone Móvel Celular;A3106;iPhone 15 Pro Max;Ambos (SA / NSA);Apple Inc.
127582301993;2025-09-15;Telefone Móvel Celular;A3094;iPhone 15 Plus;Ambos (SA / NSA);Apple Inc.
127572301993;2025-12-11;Telefone Móvel Celular;A3090;iPhone 15;Ambos (SA / NSA);Apple Inc.
124652100330;2022-04-06;Telefone Móvel Celular;XT2169-1;Moto G71;Non-standalone (NSA);Motorola Mobility LLC
123142003109;2021-02-10;Telefone Móvel Celular;ZS670KS;Zenfone 7;Ambos (SA / NSA);Asustek Computer Inc.
121192313366;2023-09-13;Telefone Móvel Celular;RMX3785;;Ambos (SA / NSA);Realme Chongqing Mobile Telecommunications Corp.,
120462113411;2022-01-20;Telefone Móvel Celular;TA-1370;Nokia G50;Ambos (SA / NSA);HMD Global Oy
118332303109;2023-10-09;Telefone Móvel Celular;ASUS_AI2302;Zenfone 10;Ambos (SA / NSA);Asustek Computer Inc.
117602300330;2025-08-11;Telefone Móvel Celular;XT2307-1;motorola edge 40 neo;Ambos (SA / NSA);Motorola Mobility LLC
117072300330;2025-07-04;Telefone Móvel Celular;XT2347-1;moto g84 5G;Ambos (SA / NSA);Motorola Mobility LLC
117032300330;2025-07-04;Telefone Móvel Celular;XT2343-1;moto g54 5G;Ambos (SA / NSA);Motorola Mobility LLC
115312000330;2022-05-10;Telefone Móvel Celular;XT2075-3;Motorola Moto G 5G Plus;Non-standalone (NSA);Motorola Mobility LLC
113482109185;2022-05-20;Telefone Móvel Celular;2109119DG;;Ambos (SA / NSA);Xiaomi Communications Co., Ltd.
113002314862;2023-08-17;Telefone Móvel Celular;CPH2531;;Ambos (SA / NSA);Guangdong OPPO Mobile  Telecommunications Co., Ltd
112752101993;2025-09-24;Telefone Móvel Celular;A2628;iPhone 13 mini;Ambos (SA / NSA);Apple Inc.
112732101993;2025-09-24;Telefone Móvel Celular;A2638;iPhone 13 Pro;Ambos (SA / NSA);Apple Inc.
112722101993;2025-09-24;Telefone Móvel Celular;A2633;iPhone 13;Ambos (SA / NSA);Apple Inc.
112432101993;2025-09-24;Telefone Móvel Celular;A2643;iPhone 13 Pro Max;Ambos (SA / NSA);Apple Inc.
111982413366;2025-04-02;Telefone Móvel Celular;RMX5070;;Ambos (SA / NSA);Realme Chongqing Mobile Telecommunications Corp.,
111532203109;2022-10-21;Telefone Móvel Celular;AI2202;Zenfone 9;Ambos (SA / NSA);Asustek Computer Inc.
111522203109;2022-10-18;Telefone Móvel Celular;ASUS_AI2201_C;ROG PHONE 6;Ambos (SA / NSA);Asustek Computer Inc.
111522203109;2022-10-18;Telefone Móvel Celular;ASUS_AI2201_D;ROG PHONE PRO;Ambos (SA / NSA);Asustek Computer Inc.
111502414550;2025-09-02;Telefone Móvel Celular;24115RA8EG;;Ambos (SA / NSA);Xiaomi Communications Co., Ltd.
111502414550;2025-09-02;Telefone Móvel Celular;24115RA8EG;Redmi Note 14 Pro Plus 5G;Ambos (SA / NSA);Xiaomi Communications Co., Ltd.
111432415801;2025-04-14;Telefone Móvel Celular;ALT-NX3;Honor X6b 5G;Ambos (SA / NSA);Honor Device Co., Ltd
111402415801;2025-04-23;Telefone Móvel Celular;BRP-NX1;Honor Magic 7 Lite 5G;Ambos (SA / NSA);Honor Device Co., Ltd
111382415801;2025-05-20;Telefone Móvel Celular;FCP-N49;Honor Magic V3 5G;Ambos (SA / NSA);Honor Device Co., Ltd
111372400953;2025-01-29;Telefone Móvel Celular;SM-A066M/DS;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
111172201993;2024-09-19;Telefone Móvel Celular;A2894;iPhone 14 Pro Max;Ambos (SA / NSA);Apple Inc.
111142201993;2025-05-09;Telefone Móvel Celular;A2890;iPhone 14 Pro;Ambos (SA / NSA);Apple Inc.
111082400330;2025-09-15;Telefone Móvel Celular;XT2507-1;motorola edge 60 pro;Ambos (SA / NSA);Motorola Mobility LLC
110482100953;2022-05-30;Telefone Móvel Celular;SM-A528B/DS;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
110132400330;2025-11-21;Telefone Móvel Celular;XT2553-1;motorola razr 60;Ambos (SA / NSA);Motorola Mobility LLC
110092413366;2025-05-09;Telefone Móvel Celular;RMX5056;;Ambos (SA / NSA);Realme Chongqing Mobile Telecommunications Corp.,
110062000953;2022-05-11;Telefone Móvel Celular;SM-F916B;Galaxy Z Fold2 5G;Non-standalone (NSA);Samsung Electronics Co Ltd.
109872201993;2024-09-13;Telefone Móvel Celular;A2886;iPhone 14 Plus;Ambos (SA / NSA);Apple Inc.
109862201993;2024-09-13;Telefone Móvel Celular;A2882;iPhone 14;Ambos (SA / NSA);Apple Inc.
109372414550;2025-09-03;Telefone Móvel Celular;2412DPC0AG;POCO X7 Pro 5G;Ambos (SA / NSA);Xiaomi Communications Co., Ltd.
109032400330;2025-09-15;Telefone Móvel Celular;XT2505-3;motorola edge 60;Ambos (SA / NSA);Motorola Mobility LLC
108992400330;2025-06-23;Telefone Móvel Celular;XT2503-1;motorola edge 60 fusion;Ambos (SA / NSA);Motorola Mobility LLC
108752400953;2025-02-03;Telefone Móvel Celular;SM-A266M/DS;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
108052113366;2021-12-08;Telefone Móvel Celular;RMX3363;realme GT Master Edition;Ambos (SA / NSA);Realme Chongqing Mobile Telecommunications Corp.,
107622400953;2025-02-03;Telefone Móvel Celular;SM-A566E/DS;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
107352400953;2025-01-28;Telefone Móvel Celular;SM-A366E/DS;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
107332313366;2023-09-13;Telefone Móvel Celular;RMX3780;;Ambos (SA / NSA);Realme Chongqing Mobile Telecommunications Corp.,
107262308726;2025-11-12;Telefone Móvel Celular;TC58B1;TC58;Ambos (SA / NSA);Zebra Technologies Corporation
106272200330;2024-07-08;Telefone Móvel Celular;XT2245-1;Motorola Edge 30 Neo;Ambos (SA / NSA);Motorola Mobility LLC
105782208726;2024-08-05;Telefone Móvel Celular;TC15BK;Touch Computer;Ambos (SA / NSA);Zebra Technologies Corporation
104892414862;2025-01-27;Telefone Móvel Celular;CPH2699;OPPO Reno13 F 5G;Ambos (SA / NSA);Guangdong OPPO Mobile  Telecommunications Co., Ltd
104822414862;2025-02-17;Telefone Móvel Celular;CPH2695;OPPO A5 Pro 5G;Ambos (SA / NSA);Guangdong OPPO Mobile  Telecommunications Co., Ltd
104812414862;2025-02-17;Telefone Móvel Celular;CPH2689;;Ambos (SA / NSA);Guangdong OPPO Mobile  Telecommunications Co., Ltd
102602401993;2026-01-22;Telefone Móvel Celular;A3409;;Ambos (SA / NSA);Apple Inc.
101522413366;2025-02-09;Telefone Móvel Celular;RMX5051;;Ambos (SA / NSA);Realme Chongqing Mobile Telecommunications Corp.,
100302400330;2025-12-29;Telefone Móvel Celular;XT2551-6;motorola razr 60 ultra;Ambos (SA / NSA);Motorola Mobility LLC
098122413366;2025-02-17;Telefone Móvel Celular;RMX3943;;Ambos (SA / NSA);Realme Chongqing Mobile Telecommunications Corp.,
096952400953;2024-12-24;Telefone Móvel Celular;SM-S931B/DS;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
096342315156;2024-04-24;Telefone Móvel Celular;X6711;Note 30 5G;Ambos (SA / NSA);INFINIX MOBILITY LIMITED
095832300953;2023-06-22;Telefone Móvel Celular;SM-M346B/DS;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
095752400953;2024-12-24;Telefone Móvel Celular;SM-S936B/DS;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
095732400953;2024-12-20;Telefone Móvel Celular;SM-S938B/DS;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
092432409185;2025-05-29;Telefone Móvel Celular;24094RAD4G;Redmi Note 14 5G;Ambos (SA / NSA);Xiaomi Communications Co., Ltd.
092432409185;2025-05-29;Telefone Móvel Celular;2409FPCC4G;POCO M7 Pro 5G;Ambos (SA / NSA);Xiaomi Communications Co., Ltd.
090452500953;2026-03-05;Telefone Móvel Celular;SM-A376B/DS;;Standalone (SA);Samsung Electronics Co Ltd.
090072200953;2023-12-12;Telefone Móvel Celular;SM-A236M/DSN;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
089962515156;2026-04-08;Telefone Móvel Celular;X6878;NOTE 60 Pro;Ambos (SA / NSA);INFINIX MOBILITY LIMITED
088222500330;2026-03-18;Telefone Móvel Celular;XT2607-1;;Ambos (SA / NSA);Motorola Mobility LLC
088092500330;2026-03-23;Telefone Móvel Celular;XT2621-5;;Ambos (SA / NSA);Motorola Mobility LLC
087792509185;2026-02-19;Telefone Móvel Celular;2511FPC34G;POCO X8 Pro 5G;Ambos (SA / NSA);Xiaomi Communications Co., Ltd.
087062100953;2023-05-18;Telefone Móvel Celular;SM-F926B/DS;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
086972100953;2023-04-28;Telefone Móvel Celular;SM-F711B;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
086952100953;2023-05-09;Telefone Móvel Celular;SM-G990E/DS;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
086862100330;2022-05-12;Telefone Móvel Celular;XT2139-2;Motorola Edge 20 Lite;Non-standalone (NSA);Motorola Mobility LLC
086722200953;2022-08-25;Telefone Móvel Celular;SM-F936B/DS;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
086672406150;2024-12-02;Telefone Móvel Celular;SMART-EX 03;;Ambos (SA / NSA);Pepperl+Fuchs SE
086572200953;2022-10-08;Telefone Móvel Celular;SM-F721B;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
086532409185;2025-04-03;Telefone Móvel Celular;24090RA29G;Redmi Note 14 Pro 5G;Ambos (SA / NSA);Xiaomi Communications Co., Ltd.
086532409185;2025-04-03;Telefone Móvel Celular;24095PCADG;POCO X7 5G;Ambos (SA / NSA);Xiaomi Communications Co., Ltd.
085712000953;2022-04-01;Telefone Móvel Celular;SM-N986B/DS;Galaxy note 20 Ultra 5G;Non-standalone (NSA);Samsung Electronics Co Ltd.
085702000953;2022-04-05;Telefone Móvel Celular;SM-N981B/DS;Galaxy Note 20 5G;Non-standalone (NSA);Samsung Electronics Co Ltd.
084582413713;2025-06-24;Telefone Móvel Celular;CL7;TECNO CAMON 30 5G;Ambos (SA / NSA);TECNO MOBILE LIMITED
084572413713;2024-12-10;Telefone Móvel Celular;KL8h;TECNO SPARK 30C 5G;Ambos (SA / NSA);TECNO MOBILE LIMITED
084412513366;2026-02-09;Telefone Móvel Celular;RMX5171;;Ambos (SA / NSA);Realme Chongqing Mobile Telecommunications Corp.,
084372514862;2026-02-23;Telefone Móvel Celular;CPH2789;;Ambos (SA / NSA);Guangdong OPPO Mobile  Telecommunications Co., Ltd
083962413411;2024-12-10;Telefone Móvel Celular;TA-1640;HMD Fusion;Ambos (SA / NSA);HMD Global Oy
083372500330;2026-04-07;Telefone Móvel Celular;XT2651-1;;Ambos (SA / NSA);Motorola Mobility LLC
083282003109;2021-02-09;Telefone Móvel Celular;ZS661KS;ROG Phone 3;Ambos (SA / NSA);Asustek Computer Inc.
082162100330;2022-05-20;Telefone Móvel Celular;XT2153-1;Motorola Edge 20 Pro;Non-standalone (NSA);Motorola Mobility LLC
082152518234;2026-03-12;Telefone Móvel Celular;USM001;FOSSIBOT F105;Non-standalone (NSA);URANYX INDUSTRIES LIMITED
082152518234;2026-03-12;Telefone Móvel Celular;USM001;FOSSIBOT F109;Non-standalone (NSA);URANYX INDUSTRIES LIMITED
082152518234;2026-03-12;Telefone Móvel Celular;USM001;FOSSIBOT F109S;Non-standalone (NSA);URANYX INDUSTRIES LIMITED
082152518234;2026-03-12;Telefone Móvel Celular;USM001;FOSSIBOT s3;Non-standalone (NSA);URANYX INDUSTRIES LIMITED
082152518234;2026-03-12;Telefone Móvel Celular;USM001;FOSSIBOT S5;Non-standalone (NSA);URANYX INDUSTRIES LIMITED
082152518234;2026-03-12;Telefone Móvel Celular;USM001;FOSSIBOT S7;Non-standalone (NSA);URANYX INDUSTRIES LIMITED
082152518234;2026-03-12;Telefone Móvel Celular;USM001;OUKITEL C69;Non-standalone (NSA);URANYX INDUSTRIES LIMITED
082152518234;2026-03-12;Telefone Móvel Celular;USM001;OUKITEL WP36;Non-standalone (NSA);URANYX INDUSTRIES LIMITED
082152518234;2026-03-12;Telefone Móvel Celular;USM001;OUKITEL WP52;Non-standalone (NSA);URANYX INDUSTRIES LIMITED
082152518234;2026-03-12;Telefone Móvel Celular;USM001;OUKITEL WP53;Non-standalone (NSA);URANYX INDUSTRIES LIMITED
082152518234;2026-03-12;Telefone Móvel Celular;USM001;OUKITEL WP60;Non-standalone (NSA);URANYX INDUSTRIES LIMITED
082112514862;2026-04-28;Telefone Móvel Celular;CPH2791;;Ambos (SA / NSA);Guangdong OPPO Mobile  Telecommunications Co., Ltd
082002500330;2026-02-10;Telefone Móvel Celular;XT2605-3;;Ambos (SA / NSA);Motorola Mobility LLC
082002500330;2026-02-10;Telefone Móvel Celular;XT2605-5;;Ambos (SA / NSA);Motorola Mobility LLC
081992100330;2022-05-10;Telefone Móvel Celular;XT2143-1;Motorola Edge 20;Ambos (SA / NSA);Motorola Mobility LLC
081692501993;2026-03-05;Telefone Móvel Celular;A3634;iPhone 17e;Ambos (SA / NSA);Apple Inc.
081582515801;2026-02-19;Telefone Móvel Celular;MTN-NX3;;Ambos (SA / NSA);Honor Device Co., Ltd
081502207600;2022-10-04;Telefone Móvel Celular;T776H;TCL 30 5G;Ambos (SA / NSA);TCL Communication LTD
081252200330;2024-08-14;Telefone Móvel Celular;XT2243-1;moto edge 30 fusion;Ambos (SA / NSA);Motorola Mobility LLC
080882300953;2023-06-28;Telefone Móvel Celular;SM-F946B/DS;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
080202513366;2026-02-19;Telefone Móvel Celular;RMX5131;;Ambos (SA / NSA);Realme Chongqing Mobile Telecommunications Corp.,
080102300953;2023-06-30;Telefone Móvel Celular;SM-F731B;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
079702514862;2026-01-28;Telefone Móvel Celular;CPH2783;;Ambos (SA / NSA);Guangdong OPPO Mobile  Telecommunications Co., Ltd
079702514862;2026-01-28;Telefone Móvel Celular;CPH2853;;Ambos (SA / NSA);Guangdong OPPO Mobile  Telecommunications Co., Ltd
079362413411;2024-12-10;Telefone Móvel Celular;TA-1600;;Ambos (SA / NSA);HMD Global Oy
079312514862;2026-03-03;Telefone Móvel Celular;CPH2781;;Ambos (SA / NSA);Guangdong OPPO Mobile  Telecommunications Co., Ltd
078612404858;2025-08-25;Telefone Móvel Celular;SGVNR;MEMOR 35;Ambos (SA / NSA);Datalogic S.R.L.
078612404858;2025-08-25;Telefone Móvel Celular;SGVNR;MEMOR 35X;Ambos (SA / NSA);Datalogic S.R.L.
078012400330;2024-12-26;Telefone Móvel Celular;XT2437-1;moto g75 5G;Ambos (SA / NSA);Motorola Mobility LLC
077972409185;2024-09-11;Telefone Móvel Celular;2406APNFAG;Xiaomi 14T;Ambos (SA / NSA);Xiaomi Communications Co., Ltd.
075932103109;2021-11-26;Telefone Móvel Celular;ZS672KS;Zenfone 8 Flip;Ambos (SA / NSA);Asustek Computer Inc.
075912509185;2026-02-19;Telefone Móvel Celular;2510DPC44G;;Ambos (SA / NSA);Xiaomi Communications Co., Ltd.
074042500953;2026-01-29;Telefone Móvel Celular;SM-S942B/DS;;Standalone (SA);Samsung Electronics Co Ltd.
073462401654;2025-04-16;Telefone Móvel Celular;CT47X1N;;Ambos (SA / NSA);Honeywell International Inc.
073182500953;2026-03-03;Telefone Móvel Celular;SM-S947B/DS;;Standalone (SA);Samsung Electronics Co Ltd.
073162500953;2026-02-19;Telefone Móvel Celular;SM-A576B/DS;;Standalone (SA);Samsung Electronics Co Ltd.
072632500953;2025-12-19;Telefone Móvel Celular;SM-S948B/DS;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
071332400953;2024-09-09;Telefone Móvel Celular;SM-S721B/DS;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
071302100330;2022-05-20;Telefone Móvel Celular;XT2149-1;Motorola Moto G50 5G;Non-standalone (NSA);Motorola Mobility LLC
071122400330;2024-11-28;Telefone Móvel Celular;XT2435-1;moto g55 5G;Ambos (SA / NSA);Motorola Mobility LLC
071042400330;2024-12-11;Telefone Móvel Celular;XT2433-1;moto g35 5G;Ambos (SA / NSA);Motorola Mobility LLC
071042400330;2024-12-11;Telefone Móvel Celular;XT2433-2;moto g35 5G;Ambos (SA / NSA);Motorola Mobility LLC
070862103109;2021-11-26;Telefone Móvel Celular;ZS590KS;Zenfone 8;Ambos (SA / NSA);Asustek Computer Inc.
070802407600;2024-11-04;Telefone Móvel Celular;T803E;;Ambos (SA / NSA);TCL Communication LTD
070682500330;2026-03-12;Telefone Móvel Celular;XT2655-1;;Ambos (SA / NSA);Motorola Mobility LLC
070082413366;2024-10-02;Telefone Móvel Celular;RMX5000;;Ambos (SA / NSA);Realme Chongqing Mobile Telecommunications Corp.,
069842400330;2024-12-12;Telefone Móvel Celular;XT2409-2;motorola edge 50 neo;Ambos (SA / NSA);Motorola Mobility LLC
069412500330;2026-04-16;Telefone Móvel Celular;XT2657-1;Motorola razr 70;Ambos (SA / NSA);Motorola Mobility LLC
068432401993;2024-12-10;Telefone Móvel Celular;A3290;iPhone 16 Plus;Ambos (SA / NSA);Apple Inc.
068402401993;2024-12-10;Telefone Móvel Celular;A3287;iPhone 16;Ambos (SA / NSA);Apple Inc.
068242513366;2025-12-12;Telefone Móvel Celular;RMX5253;;Ambos (SA / NSA);Realme Chongqing Mobile Telecommunications Corp.,
068102401993;2024-09-18;Telefone Móvel Celular;A3296;;Ambos (SA / NSA);Apple Inc.
068092400953;2024-10-07;Telefone Móvel Celular;SM-A166M/DS;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
068082401993;2025-09-03;Telefone Móvel Celular;A3293;;Ambos (SA / NSA);Apple Inc.
067992200330;2024-08-14;Telefone Móvel Celular;XT2241-2;moto edge 30 ultra;Ambos (SA / NSA);Motorola Mobility LLC
067622500330;2026-02-02;Telefone Móvel Celular;XT2603-2;;Ambos (SA / NSA);Motorola Mobility LLC
067382301654;2025-08-25;Telefone Móvel Celular;EDA57-1;ScanPal EDA57;Ambos (SA / NSA);Honeywell International Inc.
